,CV Folds,Comparison,Scaler,Scoring Metric,k:1,k:10,k:11,k:12,k:13,k:14,k:15,k:16,k:17,k:18,k:19,k:2,k:3,k:4,k:5,k:6,k:7,k:8,k:9
23,5,CSVs/AvB.csv,RobustScaler,MCC,0.943377677389962,0.8764894132341867,0.8709833999848241,0.8716360430049395,0.8613677119616783,0.8738232181642461,0.846617233247939,0.8567491504530388,0.8417472509681734,0.8466790814344443,0.8379933497444878,0.949385108231799,0.9367599782607383,0.9314854616781982,0.9042813053624361,0.9186135237043119,0.9030924099693944,0.9080900260812366,0.8741586464832715
24,5,CSVs/AvB.csv,None,MCC,0.7556882588794918,0.6020296866964875,0.6134337744100191,0.6052940193660076,0.5881656650031473,0.5862910659311503,0.5727348404947834,0.5772344496630543,0.5666410326577911,0.5696137327577068,0.5519741920795165,0.7250262089261277,0.6132046513546511,0.6327978213797139,0.6168775654255894,0.5987346018123805,0.5865433490274128,0.6089032969151995,0.5986280996227764
25,5,CSVs/AvNotA.csv,MinMaxScaler,f1,0.9212935273534676,0.9179826075917686,0.9192971536083485,0.9196106724105929,0.9205536109959421,0.9189476908573848,0.919019376681864,0.9184354832114148,0.9185921400326051,0.918309291058881,0.9160700674712599,0.9249241506588366,0.9226548049211006,0.9220979483983907,0.9207701071923898,0.9218224544039977,0.9186267553536759,0.917151093236867,0.9188350430608463
26,5,CSVs/AvNotA.csv,StandardScaler,f1,0.9236182524199041,0.9113112478659169,0.9138897483895988,0.9122312095108358,0.9124904921804458,0.9118188166787448,0.9114622001511019,0.9109128911158887,0.9105521898547876,0.9099405471061844,0.9099391679207468,0.927265503119342,0.9228101447884931,0.9167249299482991,0.9179891371013497,0.9123847073728395,0.9121864359010857,0.9116969061266941,0.9123263106815822
27,5,CSVs/AvNotA.csv,MaxAbsScaler,f1,0.9200152849788221,0.9146449029212207,0.9171652243331614,0.9176735314356055,0.9170911222399546,0.917365628142389,0.9173165883413278,0.9167470099240163,0.916703041352056,0.9168830196063364,0.9165718316260605,0.9219379897382579,0.9210389853427499,0.9198017538886865,0.918441973527818,0.9180468339382557,0.9166868423298677,0.9152396936252336,0.9172996096528673
28,5,CSVs/AvNotA.csv,RobustScaler,f1,0.9236589930375267,0.9149604897168377,0.9144160588364676,0.9147174151904203,0.9139246657200187,0.9122692444194197,0.9116925233163977,0.9107227963184364,0.910164952056627,0.9093792163903334,0.9101099546349826,0.9246826901119837,0.9220788361405388,0.919319348101032,0.9218593247918685,0.9189936932672772,0.9171512380075424,0.9149334154845159,0.9172913640292497
29,5,CSVs/AvNotA.csv,None,f1,0.8876813684838675,0.8654541495812484,0.8653492028013862,0.866232799846018,0.86381822676247,0.8681231588869347,0.867585838126514,0.8684520624416777,0.8695384039371031,0.8653860734193118,0.8664275908828337,0.8805662842406494,0.8850662122546755,0.8780744195450932,0.8851820891807639,0.8744708629089579,0.8691142927243318,0.8724312308135515,0.863653735537288
30,5,CSVs/AvNotA.csv,MinMaxScaler,accuracy,0.915047014205842,0.9131569192381592,0.9135753237458175,0.915042829911205,0.9152515908129933,0.914831645963605,0.9142016129212646,0.9142033755565357,0.9135729025486006,0.9139930715401249,0.9110529963699696,0.9215521333626668,0.9160943481446642,0.9175658209326351,0.9142077775232262,0.9175636178696204,0.9123170216828541,0.9123165835658542,0.9129450716449773
31,5,CSVs/AvNotA.csv,StandardScaler,accuracy,0.9179802615906023,0.9079039398530799,0.9091620196225024,0.9089532587207142,0.9079048183978232,0.9083232266026713,0.907273466382996,0.9076927545190336,0.9068502157837139,0.9070609620764631,0.9064318103517582,0.9249055506632491,0.916717332494515,0.9133632612534741,0.9123106357116487,0.9089543614075934,0.9064355523700568,0.9081135839210989,0.9072747876662264
32,5,CSVs/AvNotA.csv,MaxAbsScaler,accuracy,0.9133687645205976,0.909382234880661,0.9106422954195571,0.9125279884205492,0.9112677037395172,0.912107600370525,0.9114764669520492,0.9116872127826495,0.9108459944062627,0.9114762474314004,0.9106356903898518,0.9179866517211464,0.9137884898493376,0.9144198464856519,0.911479989449699,0.9129488178226144,0.9097999775913322,0.9100107248083787,0.9108495173660612
33,5,CSVs/AvNotA.csv,RobustScaler,accuracy,0.9184004301199782,0.9133551163441875,0.91167796657293,0.9129360491152448,0.9112575775986083,0.9106279882190524,0.9093681439657638,0.9093683648728585,0.9081098419028002,0.9081085224681649,0.9083186051153321,0.922805373048399,0.9165065885125095,0.9167191011377197,0.9171353002716197,0.9167162385884617,0.9129393483950563,0.9133586397661351,0.9144064155191467
34,5,CSVs/AvNotA.csv,None,accuracy,0.8849933447809424,0.8661142048271657,0.8648541424396747,0.8675867766048257,0.8629684563709134,0.869685191122256,0.8682119603205013,0.8709399706875697,0.8694777487308055,0.8671690301969648,0.8663302357906872,0.8845703215588372,0.8839418270096321,0.8826905791849431,0.8866762251965005,0.8795461483147312,0.8692597365356619,0.8749315645533325,0.8627541815725808
35,5,CSVs/AvNotA.csv,MinMaxScaler,precision,0.8972129031026841,0.902883169061913,0.8978044132970794,0.9031607987290083,0.8990801080137354,0.903373867137699,0.8981810890870097,0.9027419497265521,0.8980147377073395,0.9017763481845303,0.8950191651356695,0.9179648998576295,0.895908969125886,0.9095033365465429,0.8971315906875368,0.9076760623885021,0.8958951787783086,0.9019615649380903,0.8976532419153684
36,5,CSVs/AvNotA.csv,StandardScaler,precision,0.8970293520533656,0.8946220702351184,0.8910907384731963,0.8970788667424692,0.8919779055032405,0.8959684161243544,0.8913430374761904,0.8954207038378937,0.8915660508361409,0.8947003674112756,0.8907048128559426,0.9215816545492211,0.8946130427393408,0.9045823411208873,0.892606788602636,0.897631546030498,0.8876099571036642,0.8949541336829834,0.8893699771350285
37,5,CSVs/AvNotA.csv,MaxAbsScaler,precision,0.8933891612762309,0.8996459902730554,0.8966434796198524,0.9013958608609245,0.8968646989021757,0.9001891070079161,0.8966504668152938,0.9004935469759168,0.8952897870972297,0.8978002071343896,0.8936941210602131,0.9138627171807304,0.8940428033496458,0.9050685003232741,0.8941193205795764,0.9036725521600315,0.8932562848774189,0.8994108565560495,0.8942646603004472
38,5,CSVs/AvNotA.csv,RobustScaler,precision,0.8995062894402233,0.9034482049065863,0.8977496054992912,0.903159096338845,0.897545708756844,0.901370033725747,0.8970542969062624,0.9011782967187477,0.897072413527591,0.8994506220374244,0.896996761837849,0.9216053122278283,0.8964174670607715,0.9099887591021154,0.8967346927818161,0.9070580965178401,0.8970158092269633,0.9053350082720046,0.899262316982403
39,5,CSVs/AvNotA.csv,None,precision,0.8676987276278254,0.8565653732403711,0.8469055378803055,0.8577714329693942,0.8399600864822215,0.8651244901116542,0.8587846970080829,0.866054355208998,0.8583595192462938,0.8619472125264561,0.8512811389270649,0.894873542873621,0.8676830405392704,0.8906926944677676,0.8802174101506385,0.887882389157685,0.8562535916693648,0.8745724776764229,0.8463580452242792
40,5,CSVs/AvNotA.csv,MinMaxScaler,recall,0.9560215970446148,0.9425253386378707,0.9507994695462726,0.9451378232452401,0.9516709292412617,0.9433949038552619,0.9490584446338921,0.942962015724164,0.9486227147863977,0.9438325281803543,0.9468797953964193,0.9399081178365065,0.959943165672066,0.9438296864639575,0.9551529790660226,0.9447039878753433,0.9521047646111584,0.9420886615515771,0.9503618452211804
41,5,CSVs/AvNotA.csv,StandardScaler,recall,0.9599412711944681,0.9355659751823435,0.9455782892867293,0.9351292980960502,0.9416624040920716,0.9355640807047457,0.9399204319408924,0.9338240030311642,0.9377408354646206,0.9329506488585773,0.9373079473335227,0.9403410059676045,0.9616832433456473,0.9368655868144359,0.9538457895235389,0.9355593445107513,0.9473164724827129,0.9368684285308326,0.94470682959174
42,5,CSVs/AvNotA.csv,MaxAbsScaler,recall,0.9573297338258975,0.9399138012692999,0.9481898266552997,0.9438325281803543,0.9477512550914085,0.9447020933977456,0.9490546556786967,0.9433939566164631,0.9490556029174956,0.9464421710713271,0.9503627924599792,0.9386018755328218,0.9595064885857724,0.9446992516813489,0.9542805721322345,0.9425234441602729,0.9516690347636638,0.9412200435729849,0.9512351993937672
43,5,CSVs/AvNotA.csv,RobustScaler,recall,0.9568930567396041,0.9333816425120773,0.9386085062044142,0.9333816425120773,0.9377389409870227,0.930335322534811,0.9338192668371696,0.9272890025575448,0.9303391114900066,0.9264175428625556,0.9303391114900066,0.9351122477976699,0.9577635691957942,0.9359912854030501,0.955590603391115,0.9381699346405229,0.9460092829402292,0.9316415648384957,0.942962015724164
44,5,CSVs/AvNotA.csv,None,recall,0.9176764232262953,0.8824050393104101,0.8911167945439044,0.8815354740930189,0.8928616084114805,0.8797953964194374,0.8854542010040731,0.8784910485933505,0.8898143411954154,0.8784882068769537,0.8889438287392253,0.8745590603391115,0.9107132708155726,0.87325850146822,0.8967755991285402,0.8689049919484703,0.8889419342616274,0.8776157999431657,0.8889409870228284
